Time	Time Delta	RunAvg	Light Value	Delta Value	Count
1611764127.62791	0.0008673668	0.0008673668	118	-5	1
1611764128.36874	0.0038738251	0.0023705959	120	-7	2
1611764129.11328	0.00958848	0.0047765573	118	-7	3
1611764129.84747	0.0039250851	0.0045636892	121	-6	4
1611764130.58446	0.0027725697	0.0042054653	118	-7	5
1611764131.32619	0.0038948059	0.0041536887	120	-8	6
1611764132.06317	0.0039474964	0.0041242327	116	-8	7
1611764132.80112	0.0037310123	0.0040750802	118	-9	8
1611764133.538	0.00390172	0.0040558179	115	-8	9
1611764134.27963	0.0038135052	0.0040315866	117	-8	10
1611764135.01275	0.0028309822	0.0039224408	120	-9	11
1611764135.75736	0.0037755966	0.0039102038	117	-5	12
1611764136.49042	0.0038425922	0.0039050029	119	-7	13
1611764137.2323	0.0040273666	0.0039137432	119	-9	14
1611764137.96519	0.0038292408	0.0039081097	121	-10	15
1611764138.70695	0.0039551258	0.0039110482	118	-5	16
1611764139.44029	0.0042097569	0.0039286193	119	-8	17
1611764140.18184	0.0049545765	0.0039856169	119	-9	18
1611764140.91484	0.0039236546	0.0039823557	121	-9	19
1611764141.65947	0.0039131641	0.0039788961	117	-5	20
1611764142.3927	0.004090786	0.0039842242	117	-7	21
1611764143.13429	0.0049157143	0.0040265647	117	-8	22
1611764143.86728	0.003452301	0.0040015967	118	-8	23
1611764144.60526	0.0010812283	0.0038799147	118	-8	24
1611764145.33835	0.0010709763	0.0037675571	119	-8	25
1611764146.07893	0.0039417744	0.0037742578	120	-6	26
1611764146.81364	0.0054242611	0.003835369	121	-6	27
1611764147.55382	0.0040438175	0.0038428136	120	-7	28
1611764148.28705	0.0041537285	0.0038535348	120	-6	29
1611764149.02751	0.0037074089	0.003848664	120	-6	30
1611764149.76069	0.0038199425	0.0038477375	120	-7	31
1611764150.50241	0.0039219856	0.0038500577	119	-8	32
1611764151.23537	0.0038995743	0.0038515582	118	-9	33
1611764151.9733	0.0010278225	0.0037685072	118	-8	34
1611764152.70629	0.0038394928	0.0037705353	117	-8	35
1611764153.44813	0.0050435066	0.0038058956	117	-6	36
1611764154.18122	0.0038611889	0.0038073901	115	-7	37
1611764154.91799	0.0040142536	0.0038128338	121	-8	38
1611764155.65101	0.0036673546	0.0038091036	120	-7	39
1611764156.39176	0.0038189888	0.0038093507	118	-8	40
1611764157.1258	0.0048975945	0.0038358933	117	-8	41
1611764157.86656	0.0038559437	0.0038363706	116	-8	42
1611764158.59962	0.0039196014	0.0038383062	115	-7	43
1611764159.33645	0.0038683414	0.0038389889	119	-7	44
1611764160.06953	0.0039093494	0.0038405524	118	-6	45
1611764160.80825	0.0038716793	0.0038412291	115	-7	46
1611764161.53758	0.0010507107	0.0037818564	120	-8	47
1611764162.27816	0.0039036274	0.0037843933	119	-6	48
1611764163.00774	0.0042378902	0.0037936483	121	-10	49
1611764163.74794	0.0039288998	0.0037963533	120	-9	50
1611764164.48116	0.0036752224	0.0037939782	117	-7	51
1611764165.2229	0.0039141178	0.0037962886	116	-7	52
1611764165.95204	0.0038554668	0.0037974052	120	-7	53
1611764166.69288	0.0039641857	0.0038004937	117	-7	54
1611764167.42192	0.0038833618	0.0038020004	120	-8	55
1611764168.1637	0.0049173832	0.0038219179	118	-7	56
1611764168.89292	0.0049302578	0.0038413625	121	-8	57
1611764169.63362	0.0038354397	0.0038412604	118	-9	58
1611764170.36663	0.0039799213	0.0038436106	114	-9	59
1611764171.10352	0.0038669109	0.0038439989	120	-6	60
1611764171.8326	0.0038356781	0.0038438625	121	-10	61
1611764172.5715	0.0046668053	0.0038571358	120	-8	62
1611764173.30499	0.0043013096	0.0038641862	116	-7	63
1611764174.04131	0.0039131641	0.0038649514	120	-7	64
1611764174.77041	0.0037202835	0.0038627258	121	-10	65
1611764175.5112	0.0038721561	0.0038628687	120	-7	66
1611764176.24032	0.0036804676	0.0038601463	121	-9	67
1611764176.98212	0.0038948059	0.003860656	119	-7	68
1611764177.71142	0.0039758682	0.0038623257	120	-9	69
1611764178.45199	0.0038487911	0.0038621323	118	-8	70
1611764179.18117	0.0038747787	0.0038623105	119	-8	71
1611764179.92191	0.0039441586	0.0038634472	115	-9	72
1611764180.65104	0.0038821697	0.0038637037	118	-8	73
1611764181.38891	0.0049030781	0.0038777493	121	-10	74
